year,image,other,video
1995,80.0,0.0,0.0
1996,175.0,0.0,0.0
1997,160.0,0.0,0.0
1998,175.0,0.0,0.0
1999,184.0,0.0,0.0
2000,165.0,0.0,0.0
2001,184.0,0.0,0.0
2002,173.0,0.0,0.0
2003,174.0,0.0,0.0
2004,179.0,0.0,0.0
2005,166.0,0.0,0.0
2006,149.0,1.0,0.0
2007,163.0,0.0,0.0
2008,171.0,0.0,0.0
2009,149.0,0.0,0.0
2010,169.0,5.0,1.0
2011,158.0,2.0,9.0
2012,163.0,1.0,10.0
2013,162.0,0.0,18.0
2014,164.0,2.0,9.0
2015,153.0,0.0,9.0
2016,161.0,0.0,9.0
2017,151.0,0.0,11.0
2018,142.0,0.0,14.0
2019,153.0,0.0,8.0
2020,141.0,0.0,13.0
2021,157.0,0.0,28.0
2022,145.0,0.0,8.0
2023,187.0,0.0,1.0
2024,145.0,1.0,9.0
2025,30.0,0.0,3.0
