copyright,date,explanation,hdurl,media_type,service_version,title,url,month,year
"
Tom Ruen, 
Eugene Antoniadi, Lowell Hess, 
Roy A. Gallant, 
HST, 
NASA 
",2003-11-12,"Does Mars have canals?  A hot debate topic of the late 1800s, several prominent astronomers including Percival Lowell not only claimed to see an extensive system of long straight canals on Mars, but used them to indicate that intelligent life exists there.  The relatively close opposition of 1894 was used to make drawings like the one digitally re-scaled on the above left.  The above map was originally prepared by Eugene Antoniadi and redrawn by Lowell Hess for the book Exploring Mars, by Roy A. Gallant. In more modern times, the latest Mars opposition has allowed the Hubble Space Telescope to capture a picture of similar orientation.  Comparison of the two images shows that large features were impressively recorded, but that an extensive system of long and straight canals just does not exist.  Satellites orbiting Mars have now shown conclusively that the red planet does indeed have surface features similar to canals, but that these are usually smaller, curved, and less extensive than that previously claimed.  Real canyon systems like Noctis Labyrinthus are most likely cracks caused by surface stress.",https://apod.nasa.gov/apod/image/0311/marscanalhubble_ruen_big.jpg,image,v1,Mars Then and Now,https://apod.nasa.gov/apod/image/0311/marscanalhubble_ruen.jpg,11,2003
"
Lori Allen, Xavier Koenig
(Harvard-Smithsonian CfA)
et al.,
JPL-Caltech,
NASA
",2011-11-20,"How do stars form? A study of star forming region W5 by the sun-orbiting Spitzer Space Telescope provides clear clues by recording that massive stars near the center of empty cavities are older than stars near the edges.  A likely reason for this is that the older stars in the center are actually triggering the formation of the younger edge stars.  The triggered star formation occurs when hot outflowing gas compresses cooler gas into knots dense enough to gravitationally contract into stars. Spectacular pillars, left slowly evaporating from the hot outflowing gas, provide further visual clues. In the above scientifically-colored infrared image, red indicates heated dust, while white and green indicate particularly dense gas clouds. W5 is also known as IC 1848, and together with IC 1805 form a complex region of star formation popularly dubbed the Heart and Soul Nebulas. The above image highlights a part of W5 spanning about 2,000 light years that is rich in star forming pillars.  W5 lies about 6,500 light years away toward the constellation of Cassiopeia.",https://apod.nasa.gov/apod/image/1111/w5_spitzer_5569.jpg,image,v1,W5: Pillars of Star Formation,https://apod.nasa.gov/apod/image/1111/w5_spitzer_900.jpg,11,2011
"
MAAS Digital, 
SVV Project, 
NASA
",2008-05-25,"Will Phoenix survive its landing today on Mars?  Phoenix's landing sequence will ramp up starting at about 7:30 pm EDT (23:30 UTC) today and last just over an hour.  If all goes well, one of Phoenix's first images from Mars will appear on APOD tomorrow.  The Phoenix Lander is programmed to set down near the North Pole of Mars, and, over the next three months, sample alien soil and ice and look for conditions conducive for ancient microbial life. Shown above is an artistic animation of what it might look like to see Phoenix land on Mars.  In the animated sequence, the Phoenix spacecraft arrives at Mars, deploys its braking parachute, jettisons its heat shield, fires it thrusters, lands, unfurls its solar panels, deploys its instruments, scoops up some of Mars, and begins its analysis.",https://apod.nasa.gov/apod/image/0805/landingmovie_phoenix.jpg,image,v1,Phoenix Lander Arrives at Mars,https://apod.nasa.gov/apod/image/0805/landingmovie_phoenix.jpg,5,2008
"
NASA, 
JPL-Caltech, 
MSSS;
Processing: Neville Thompson
",2023-05-02,"Why are there so many flat rocks on Mars? Some views of plains and hills on Mars show many rocks that are unusually flat when compared to rocks on Earth. One reason for this is a process that is common to both Mars and Earth: erosion. The carbon-dioxide wind on Mars can act like sandpaper when it blows around gritty Martian sand. This sand can create differential erosion, smoothing over some rocks, while wearing down the tops of other long-exposed stones.  The featured image capturing several hills covered with flat-topped rocks was taken last month by NASA's  Curiosity Rover on Mars. This robotic rover has now been rolling across Mars for ten years and has helped uncover many details of the wet and windy past of Earth's planetary neighbor.  After taking this and other images, Curiosity carefully navigated stones and slippery sand to climb up Marker Band Valley.",https://apod.nasa.gov/apod/image/2305/FlatMars_CuriosityThompson_2713.jpg,image,v1,Flat Rock Hills on Mars,https://apod.nasa.gov/apod/image/2305/FlatMars_CuriosityThompson_1080.jpg,5,2023
"
NASA, 
ESA, 
Hubble, 
Subaru Telescope, 
W. Cramer 
(Yale) 
et al., 
M. Yagi, 
J. DePasquale
",2019-01-28,"Why is there long red streak attached to this galaxy?  The streak is made mostly of glowing hydrogen that has been systematically stripped away as the galaxy moved through the ambient hot gas in a cluster of galaxies.  Specifically, the galaxy is spiral galaxy D100, and cluster is the Coma Cluster of galaxies.  The red path connects to the center of D100 because the outer gas, gravitationally held less strongly, has already been stripped away by ram pressure. The extended gas tail is about 200,000 light-years long, contains about 400,000 times the mass of our Sun, and stars are forming within it.  Galaxy D99, visible to D100's lower left, appears red because it glows primarily from the light of old red stars -- young blue stars can no longer form because D99 has been stripped of its star-forming gas. The featured false-color picture is a digitally enhanced composite of images from Earth-orbiting Hubble and the ground-based Subaru telescope. Studying remarkable systems like this bolsters our understanding of how galaxies evolve in clusters.",https://apod.nasa.gov/apod/image/1901/D100gas_HubbleSubaru_1448.jpg,image,v1,The Long Gas Tail of Spiral Galaxy D100,https://apod.nasa.gov/apod/image/1901/D100gas_HubbleSubaru_960.jpg,1,2019
"
NASA,
ESA,
JPL,
SSI,
Cassini Imaging Team
",2023-06-18,"Why would clouds form a hexagon on Saturn? Nobody is sure.   Originally discovered during the Voyager flybys of Saturn in the 1980s, nobody has ever seen anything like it anywhere else in the Solar System.  Acquiring its first sunlit views of far northern Saturn in late 2012, the Cassini spacecraft's wide-angle camera recorded this stunning, false-color image of the ringed planet's north pole. The composite of near-infrared image data results in red hues for low clouds and green for high ones, giving the Saturnian cloudscape a vivid appearance. This and similar images show the stability of the hexagon even 20+ years after Voyager.  Movies of Saturn's North Pole show the cloud structure maintaining its hexagonal structure while rotating.  Unlike individual clouds appearing like a hexagon on Earth, the Saturn cloud pattern appears to have six well defined sides of nearly equal length. Four Earths could fit inside the hexagon. Beyond the cloud tops at the upper right, arcs of the planet's eye-catching rings are tinted bright blue.",https://apod.nasa.gov/apod/image/2306/NorthSaturn_Cassini_960.jpg,image,v1,Saturn's Northern Hexagon,https://apod.nasa.gov/apod/image/2306/NorthSaturn_Cassini_960.jpg,6,2023
"
NASA, 
JPL-Caltech,
Space Science Institute,
Cassini
",2021-05-31,"Whatever hit Mimas nearly destroyed it.  What remains is one of the largest impact craters on one of Saturn's smallest round moons.  Analysis indicates that a slightly larger impact would have destroyed Mimas entirely.  The huge crater, named Herschel after the 1789 discoverer of Mimas, Sir William Herschel, spans about 130 kilometers and is featured here. Mimas' low mass produces a surface gravity just strong enough to create a spherical body but weak enough to allow such relatively large surface features. Mimas is made of mostly water ice with a smattering of rock - so it is accurately described as a big dirty snowball. The featured image was taken during the closest-ever flyby of the robot spacecraft Cassini past Mimas in 2010 while in orbit around Saturn.   Interactive: Take a trek across Mimas",https://apod.nasa.gov/apod/image/2105/Mimas_Cassini_1800.jpg,image,v1,Mimas: Small Moon with a Big Crater,https://apod.nasa.gov/apod/image/2105/Mimas_Cassini_960.jpg,5,2021
"
D. Seaton (ROB),  
A. Davis & J. M. Pasachoff 
(Williams College Eclipse Expedition),
NRL, 
ESA, 
NASA, NatGeo
",2013-11-11,"Sometimes, a total eclipse of the Sun is an opportunity. Taking advantage of such, the above image shows the solar eclipse earlier this month as covered and uncovered by several different solar observatories. The innermost image shows the Sun in ultraviolet light as recorded over a few hours by the SWAP instrument aboard the PROBA2 mission in a sun-synchronous low Earth orbit. This image is surrounded by a ground-based eclipse image, reproduced in blue, taken from Gabon. Further out is a circularly blocked region used to artificially dim the central sun by the LASCO instrument aboard the Sun-orbiting SOHO spacecraft. The outermost image -- showing the outflowing solar corona -- was taken by LASCO ten minutes after the eclipse and shows an outflowing solar corona. Over the past few weeks, our Sun has been showing an unusually high amount of sunspots, CMEs, and flares -- activity that was generally expected as the Sun is currently going through Solar Maximum -- the busiest part of its 11 year solar cycle. The above resultant image is a picturesque montage of many solar layers at once that allows solar astronomers to better match up active areas on or near the Sun's surface with outflowing jets in the Sun's corona.   Free lecture: APOD editor to speak in NYC on Jan. 3",https://apod.nasa.gov/apod/image/1311/eclipsesun_pasachoff_1500.png,image,v1,An Active Sun During a Total Eclipse,https://apod.nasa.gov/apod/image/1311/eclipsesun_pasachoff_960.jpg,11,2013
"
NASA,
Johns Hopkins Univ./APL,
Southwest Research Inst.
",2015-07-15,"New Horizons has survived its close encounter with Pluto and has resumed sending back images and data. The robotic spacecraft reported back on time, with all systems working, and with the expected volume of data stored. Featured here is the highest resolution image of Pluto taken before closest approach, an image that really brings Pluto into a satisfying focus.  At first glance, Pluto is reddish and has several craters. Toward the image bottom is a surprisingly featureless light-covered region that resembles an iconic heart, and mountainous terrain appears on the lower right. This image, however, is only the beginning. As more images and data pour in today, during the coming week, and over the next year, humanity's understanding of Pluto and its moons will likely become revolutionized.   Pluto flyby updates: #PlutoFlyby, Twitter, Facebook, Web",https://apod.nasa.gov/apod/image/1507/Pluto04_NewHorizons_1042.jpg,image,v1,Pluto Resolved,https://apod.nasa.gov/apod/image/1507/Pluto04_NewHorizons_960.jpg,7,2015
"Ralph P. Harvey
(CWRU),
Antarctic Search for Meteorites Program,
NASA,
NSF
",2011-12-11,"Where is the best place on Earth to find meteorites? Although meteors fall all over the world, they usually just sink to the bottom of an ocean, are buried by shifting terrain, or are easily confused with terrestrial rocks. At the bottom of the Earth, however, in East Antarctica, huge sheets of blue ice remain pure and barren. When traversing such a sheet, a dark rock will stick out. These rocks have a high probability of being true meteorites -- likely pieces of another world. An explosion or impact might have catapulted these meteorites from the Moon, Mars, or even an asteroid, yielding valuable information about these distant worlds and our early Solar System. Small teams of snowmobiling explorers so far have found thousands. Pictured above, ice-trekkers search a field 25-kilometers in front of Otway Massif in the Transantarctic Mountain Range during the Antarctic summer of 1995-1996. The week marks the 100th anniversary of humans first reaching the Earth's South Pole.   Browse or share: Lastest lunar eclipse pictures",https://apod.nasa.gov/apod/image/1112/meteorsearch_harvey_3000.jpg,image,v1,Searching for Meteorites in Antarctica,https://apod.nasa.gov/apod/image/1112/meteorsearch_harvey_900.jpg,12,2011
