year,planet,galaxy,star,nebula,asteroid,comet,supernova
1995,21,21,31,10,2.0,2,2
1996,47,40,80,27,3.0,29,12
1997,39,40,76,30,2.0,25,14
1998,44,50,89,26,8.0,19,15
1999,53,36,83,29,8.0,12,10
2000,56,38,80,31,9.0,7,21
2001,56,42,98,25,8.0,14,6
2002,62,28,90,31,7.0,12,14
2003,53,40,81,29,5.0,4,12
2004,53,39,83,33,4.0,15,13
2005,45,42,86,32,4.0,14,17
2006,52,42,76,30,5.0,14,10
2007,52,37,82,32,1.0,19,5
2008,60,52,92,40,4.0,7,14
2009,50,40,91,40,4.0,10,9
2010,49,44,94,37,8.0,9,4
2011,54,37,97,45,6.0,15,6
2012,65,39,97,37,5.0,7,15
2013,66,45,101,41,7.0,20,14
2014,62,49,105,45,4.0,16,10
2015,54,54,101,40,6.0,14,7
2016,65,51,100,51,3.0,10,17
2017,57,38,87,35,2.0,13,10
2018,58,36,96,49,5.0,11,9
2019,58,55,101,51,5.0,5,15
2020,65,43,95,37,4.0,16,12
2021,65,44,108,47,5.0,21,13
2022,70,31,90,44,5.0,10,8
2023,81,56,100,52,9.0,22,17
2024,51,42,99,45,2.0,20,14
2025,11,6,18,10,,4,1
